Time[s], Í¨µÀ 0
-2.5002985, 1
-2.2898745, 0
-2.2897845, 1
0.0000000, 0
0.0030030, 1
0.0240085, 0
0.0310210, 1
0.0321710, 0
0.0340915, 1
2.0452520, 0
2.0469060, 1
2.0474110, 0
2.0479160, 1
2.0495695, 0
2.0500745, 1
2.0505800, 0
2.0510850, 1
2.0515900, 0
2.0532435, 1
2.0537490, 0
2.0542535, 1
2.0547590, 0
2.0564125, 1
2.0569175, 0
2.0574225, 1
2.0590760, 0
2.0595820, 1
2.0650000, 0
2.0655060, 1
2.0671590, 0
2.0688125, 1
2.0704660, 0
2.0709715, 1
2.0714765, 0
2.0719815, 1
2.0724865, 0
2.0729915, 1
2.0746450, 0
2.0751505, 1
2.0756555, 0
2.0773090, 1
2.0778140, 0
2.0783195, 1
2.0788245, 0
2.0804785, 1
2.0858915, 0
2.0863965, 1
2.0880500, 0
2.0885550, 1
2.0890600, 0
2.0907135, 1
2.0912185, 0
2.0928720, 1
2.0933775, 0
2.0950305, 1
2.0966840, 0
2.0971890, 1
2.0988430, 0
2.0993475, 1
2.0998530, 0
2.1015065, 1
2.1031595, 0
2.1036655, 1
2.1091060, 0
2.1107595, 1
2.1112650, 0
2.1129185, 1
2.1134235, 0
2.1139285, 1
2.1144340, 0
2.1160870, 1
2.1177405, 0
2.1193940, 1
2.1198990, 0
2.1204040, 1
2.1209095, 0
2.1225630, 1
2.1230680, 0
2.1235730, 1
2.1252265, 0
2.1257325, 1
2.1311505, 0
2.1316565, 1
2.1333095, 0
2.1338150, 1
2.1343200, 0
2.1359730, 1
2.1376270, 0
2.1381320, 1
2.1397855, 0
2.1402905, 1
2.1419440, 0
2.1435975, 1
2.1441025, 0
2.1446075, 1
2.1451130, 0
2.1456180, 1
2.1461230, 0
2.1466285, 1
2.1520415, 0
2.1525465, 1
2.1542005, 0
2.1547050, 1
2.1552105, 0
2.1557155, 1
2.1562205, 0
2.1567255, 1
2.1572310, 0
2.1588845, 1
2.1605380, 0
2.1610430, 1
2.1626965, 0
2.1643500, 1
2.1648550, 0
2.1653600, 1
2.1670135, 0
2.1675195, 1
2.1729595, 0
2.1746135, 1
2.1751185, 0
2.1756240, 1
2.1761290, 0
2.1766340, 1
2.1771390, 0
2.1787925, 1
2.1792975, 0
2.1809510, 1
2.1814565, 0
2.1819615, 1
2.1836150, 0
2.1852685, 1
2.1869220, 0
2.1874270, 1
2.1879320, 0
2.1884380, 1
2.1938560, 0
2.1943610, 1
2.1960140, 0
2.1965190, 1
2.1970245, 0
2.1986780, 1
2.2003310, 0
2.2008365, 1
2.2013415, 0
2.2029950, 1
2.2046485, 0
2.2063020, 1
2.2068070, 0
2.2073120, 1
2.2089655, 0
2.2106190, 1
2.2111245, 0
2.2116300, 1
2.2170430, 0
2.2175480, 1
2.2192015, 0
2.2197065, 1
2.2202115, 0
2.2207165, 1
2.2223700, 0
2.2240235, 1
2.2245285, 0
2.2261820, 1
2.2266875, 0
2.2271925, 1
2.2288460, 0
2.2293510, 1
2.2298560, 0
2.2315095, 1
2.2331630, 0
2.2336685, 1
2.2391115, 0
2.2396175, 1
2.2412710, 0
2.2417760, 1
2.2434295, 0
2.2439350, 1
2.2444400, 0
2.2449450, 1
2.2454500, 0
2.2459555, 1
2.2464605, 0
2.2469655, 1
2.2474710, 0
2.2479755, 1
2.2484810, 0
2.2501345, 1
2.2506395, 0
2.2511455, 1
2.2565635, 0
2.2570690, 1
2.2587230, 0
2.2592280, 1
2.2597330, 0
2.2613865, 1
2.2618915, 0
2.2635450, 1
2.2651985, 0
2.2657035, 1
2.2662085, 0
2.2678620, 1
2.2695155, 0
2.2700205, 1
2.2716740, 0
2.2721790, 1
2.2726845, 0
2.2731900, 1
2.2786030, 0
2.2791080, 1
2.2807615, 0
2.2824150, 1
2.2840680, 0
2.2845735, 1
2.2850785, 0
2.2855835, 1
2.2860890, 0
2.2865940, 1
2.2870990, 0
2.2876040, 1
2.2881095, 0
2.2886145, 1
2.2902680, 0
2.2907730, 1
2.2912785, 0
2.2929320, 1
2.2983895, 0
2.2988955, 1
2.3005490, 0
2.3010535, 1
2.3015590, 0
2.3032125, 1
2.3037175, 0
2.3042225, 1
2.3058760, 0
2.3063815, 1
2.3080345, 0
2.3085395, 1
2.3101930, 0
2.3118465, 1
2.3135000, 0
2.3140050, 1
2.3145105, 0
2.3161640, 1
2.3215825, 0
2.3220885, 1
2.3237420, 0
2.3242470, 1
2.3247520, 0
2.3252570, 1
2.3257625, 0
2.3274160, 1
2.3290690, 0
2.3307225, 1
2.3312280, 0
2.3317325, 1
2.3333865, 0
2.3338915, 1
2.3343965, 0
2.3349015, 1
2.3365550, 0
2.3370610, 1
2.3424740, 0
2.3429790, 1
2.3446325, 0
2.3451370, 1
2.3456425, 0
2.3472960, 1
2.3478010, 0
2.3494545, 1
2.3511080, 0
2.3516130, 1
2.3532665, 0
2.3537715, 1
2.3554250, 0
2.3559300, 1
2.3564355, 0
2.3580885, 1
2.3585940, 0
2.3591000, 1
2.3618185, 0
2.3623585, 1
2.3639780, 0
2.3655975, 1
2.3661375, 0
2.3666775, 1
2.3682970, 0
2.3699170, 1
2.3704570, 0
2.3709970, 1
2.3715365, 0
2.3720765, 1
2.3736960, 0
2.3753155, 1
2.3769350, 0
2.3785545, 1
2.3790945, 0
2.3796345, 1
2.3823340, 0
2.3828740, 1
2.3844935, 0
2.3861130, 1
2.3866530, 0
2.3871930, 1
2.3877325, 0
2.3882725, 1
2.3888125, 0
2.3893525, 1
2.3898920, 0
2.3915120, 1
2.3931310, 0
2.3936710, 1
2.3942105, 0
2.3958300, 1
2.3963695, 0
2.3969095, 1
2.3996090, 0
2.4001485, 1
2.4017685, 0
2.4033885, 1
2.4039280, 0
2.4044675, 1
2.4050075, 0
2.4066270, 1
2.4071665, 0
2.4087860, 1
2.4093255, 0
2.4109450, 1
2.4114845, 0
2.4131040, 1
2.4147235, 0
2.4163430, 1
2.4168825, 0
2.4174225, 1
2.4201220, 0
2.4206620, 1
2.4222810, 0
2.4239010, 1
2.4244405, 0
2.4249805, 1
2.4255200, 0
2.4260600, 1
2.4265995, 0
2.4271390, 1
2.4287585, 0
2.4303775, 1
2.4319970, 0
2.4336165, 1
2.4341565, 0
2.4346960, 1
2.4363155, 0
2.4368555, 1
2.4395545, 0
2.4400940, 1
2.4417130, 0
2.4433325, 1
2.4438725, 0
2.4444120, 1
2.4449520, 0
2.4465720, 1
2.4471115, 0
2.4487315, 1
2.4492715, 0
2.4508910, 1
2.4514310, 0
2.4530505, 1
2.4535905, 0
2.4541305, 1
2.4557500, 0
2.4562900, 1
2.4589905, 0
2.4595305, 1
2.4611500, 0
2.4627695, 1
2.4633090, 0
2.4638490, 1
2.4643890, 0
2.4649290, 1
2.4665490, 0
2.4681695, 1
2.4697900, 0
2.4703300, 1
2.4708695, 0
2.4724895, 1
2.4730290, 0
2.4746490, 1
2.4762685, 0
2.4768085, 1
2.4795085, 0
2.4800485, 1
2.4816680, 0
2.4822080, 1
2.4838275, 0
2.4843675, 1
2.4849075, 0
2.4865275, 1
2.4870670, 0
2.4876070, 1
2.4881470, 0
2.4886870, 1
2.4903060, 0
2.4908460, 1
2.4924655, 0
2.4930055, 1
2.4946245, 0
2.4962440, 1
2.4989440, 0
2.4994835, 1
2.5011030, 0
2.5027220, 1
2.5032615, 0
2.5038010, 1
2.5043405, 0
2.5059590, 1
2.5075775, 0
2.5081170, 1
2.5097355, 0
2.5102755, 1
2.5118945, 0
2.5124340, 1
2.5129740, 0
2.5135135, 1
2.5140530, 0
2.5145925, 1
2.5172900, 0
2.5178295, 1
2.5194480, 0
2.5210670, 1
2.5216060, 0
2.5221460, 1
2.5237645, 0
2.5253825, 1
2.5259220, 0
2.5264615, 1
2.5280800, 0
2.5286195, 1
2.5291590, 0
2.5307775, 1
2.5313170, 0
2.5329355, 1
2.5345540, 0
2.5350935, 1
2.5377905, 0
2.5383300, 1
2.5399490, 0
2.5404885, 1
2.5410280, 0
2.5426470, 1
2.5442655, 0
2.5448050, 1
2.5453445, 0
2.5458835, 1
2.5464230, 0
2.5480415, 1
2.5485810, 0
2.5491205, 1
2.5496595, 0
2.5501990, 1
2.5518170, 0
2.5534360, 1
