Time[s], Í¨µÀ 0
-4.999042, 0
-4.157241, 1
-4.157240, 0
-4.157231, 1
-4.157230, 0
-4.157217, 1
-4.157216, 0
-4.157214, 1
-4.157213, 0
-4.157212, 1
-4.157211, 0
-4.157210, 1
-4.157209, 0
-4.157204, 1
-4.157194, 0
-4.157193, 1
-4.157153, 0
-4.157152, 1
-1.875519, 0
-1.872519, 1
-1.859619, 0
-1.857965, 1
-1.857460, 0
-1.856955, 1
-1.855302, 0
-1.854796, 1
-1.854291, 0
-1.853786, 1
-1.853281, 0
-1.851627, 1
-1.851122, 0
-1.850617, 1
-1.850112, 0
-1.848458, 1
-1.847953, 0
-1.847448, 1
-1.845794, 0
-1.845289, 1
-1.839483, 0
-1.838978, 1
-1.837324, 0
-1.835671, 1
-1.834017, 0
-1.833512, 1
-1.833007, 0
-1.832502, 1
-1.831997, 0
-1.831491, 1
-1.829838, 0
-1.829332, 1
-1.828827, 0
-1.827174, 1
-1.826669, 0
-1.826163, 1
-1.825658, 0
-1.824005, 1
-1.818200, 0
-1.817695, 1
-1.816041, 0
-1.815536, 1
-1.815031, 0
-1.813377, 1
-1.812872, 0
-1.811218, 1
-1.810713, 0
-1.809060, 1
-1.807406, 0
-1.806901, 1
-1.805247, 0
-1.804742, 1
-1.804237, 0
-1.802583, 1
-1.800930, 0
-1.800425, 1
-1.794620, 0
-1.792966, 1
-1.792461, 0
-1.790808, 1
-1.790303, 0
-1.789797, 1
-1.789292, 0
-1.787638, 1
-1.785985, 0
-1.784331, 1
-1.783826, 0
-1.783321, 1
-1.782816, 0
-1.781162, 1
-1.780657, 0
-1.780152, 1
-1.778498, 0
-1.777993, 1
-1.772187, 0
-1.771682, 1
-1.770029, 0
-1.769523, 1
-1.769018, 0
-1.767365, 1
-1.765711, 0
-1.765206, 1
-1.763552, 0
-1.763047, 1
-1.761394, 0
-1.759740, 1
-1.759235, 0
-1.758730, 1
-1.758225, 0
-1.757719, 1
-1.757214, 0
-1.756709, 1
